[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
5359 frames: done 165 games, mean reward 0.3, epsilon 0.94, speed 101.76 frames/s
5382 frames: done 166 games, mean reward 0.233, epsilon 0.94, speed 101.0 frames/s
5405 frames: done 167 games, mean reward 0.2, epsilon 0.94, speed 101.96 frames/s
5501 frames: done 168 games, mean reward 0.167, epsilon 0.93, speed 102.62 frames/s
5522 frames: done 169 games, mean reward 0.167, epsilon 0.93, speed 103.05 frames/s
5545 frames: done 170 games, mean reward 0.133, epsilon 0.93, speed 98.54 frames/s
5568 frames: done 171 games, mean reward 0.133, epsilon 0.93, speed 104.37 frames/s
5591 frames: done 172 games, mean reward 0.133, epsilon 0.93, speed 100.0 frames/s
5612 frames: done 173 games, mean reward 0.133, epsilon 0.93, speed 103.76 frames/s
5633 frames: done 174 games, mean reward 0.133, epsilon 0.93, speed 99.57 frames/s
5753 frames: done 175 games, mean reward 0.2, epsilon 0.93, speed 101.38 frames/s
5851 frames: done 176 games, mean reward 0.267, epsilon 0.93, speed 103.54 frames/s
5922 frames: done 177 games, mean reward 0.3, epsilon 0.93, speed 101.26 frames/s
5945 frames: done 178 games, mean reward 0.3, epsilon 0.93, speed 100.07 frames/s
5968 frames: done 179 games, mean reward 0.3, epsilon 0.93, speed 100.65 frames/s
6021 frames: done 180 games, mean reward 0.333, epsilon 0.93, speed 98.37 frames/s
6092 frames: done 181 games, mean reward 0.367, epsilon 0.93, speed 100.56 frames/s
6115 frames: done 182 games, mean reward 0.367, epsilon 0.93, speed 103.59 frames/s
6136 frames: done 183 games, mean reward 0.367, epsilon 0.93, speed 101.62 frames/s
6186 frames: done 184 games, mean reward 0.4, epsilon 0.93, speed 102.89 frames/s
6209 frames: done 185 games, mean reward 0.4, epsilon 0.93, speed 98.92 frames/s
6232 frames: done 186 games, mean reward 0.4, epsilon 0.93, speed 102.58 frames/s
6253 frames: done 187 games, mean reward 0.367, epsilon 0.93, speed 99.88 frames/s
